Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Atlântico Copacabana;R$ 7.130;6,7;Quarto Standard com 2 Camas de Solteiro;10.016 avaliações
Hotel Astoria Copacabana;R$ 8.403;8,0;Quarto Duplo Standard;8.503 avaliações
Hotel Atlântico Travel Copacabana;R$ 7.102;7,4;Quarto Duplo;12.924 avaliações
Copacabana Blue Hotel;R$ 6.605;7,4;Quarto Standard com 2 Camas de Solteiro e Banheiro Compartilhado;1.460 avaliações
Maroca Copacabana;R$ 5.396;8,7;Quarto Triplo Básico com Banheiro Compartilhado;118 avaliações
Hotel Bandeirantes;R$ 7.517;7,9;Quarto Duplo;6.435 avaliações
Hotel Astoria Palace;R$ 13.780;8,3;Quarto Standard com 2 Camas de Solteiro;8.559 avaliações
Hotel Diplomata Copacabana;R$ 5.250;8,5;Quarto Duplo Standard;2.301 avaliações
Windsor Copa Hotel;R$ 10.112;8,8;Quarto Duplo Superior;1.978 avaliações
Windsor Martinique Copacabana;R$ 10.210;8,6;Quarto Duplo Superior;2.299 avaliações
Orla Copacabana Hotel;R$ 13.157;8,5;Quarto Duplo Standard;3.925 avaliações
Augusto's Copacabana Hotel;R$ 7.845;7,8;Quarto Standard com 2 Camas de Solteiro;2.304 avaliações
Rio Design Copacabana Hotel;R$ 10.219;8,0;Quarto Deluxe com 2 Camas de Solteiro;4.013 avaliações
Hotel Copamar;R$ 6.451;7,9;Quarto Duplo Básico;977 avaliações
Regency Park Hotel;R$ 7.458;9,7;Quarto Standard com Cama King-size;11 avaliações
Augusto's Rio Copa Hotel;R$ 7.492;7,8;Quarto Standard com 2 Camas de Solteiro;2.548 avaliações
Rio Othon Palace;R$ 14.133;7,8;Quarto Superior Lateral Mar;10.779 avaliações
ibis Copacabana Posto 5;R$ 6.267;7,9;Quarto Duplo Standard - Acesso para Hóspedes com Mobilidade Reduzida;2.718 avaliações
Premier Copacabana Hotel;R$ 7.249;8,0;Quarto Duplo Standard;2.385 avaliações
Copa Sul Hotel;R$ 9.690;8,3;Quarto Duplo Standard;1.460 avaliações
Windsor Plaza Copacabana;R$ 10.641;7,9;Quarto Superior com 2 Camas de Solteiro;2.526 avaliações
Windsor Excelsior Copacabana;R$ 17.707;8,5;Quarto Duplo Superior;2.966 avaliações
Américas Benidorm Hotel;R$ 7.747;8,4;Quarto Duplo Standard;4.441 avaliações
Hotel Canada;R$ 8.608;8,1;Quarto Duplo com Cama de Casal;926 avaliações
Savoy Othon;R$ 8.463;7,5;Quarto Superior;4.214 avaliações
