Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Atlântico Copacabana;R$ 7.130;6,7;Quarto Standard com 2 Camas de Solteiro;10.010 avaliações
Hotel Astoria Copacabana;R$ 8.403;8,0;Quarto Duplo Standard;8.512 avaliações
Hotel Atlântico Travel Copacabana;R$ 7.102;7,4;Quarto Duplo;12.927 avaliações
Hotel Bandeirantes;R$ 7.517;7,9;Quarto Duplo;6.438 avaliações
Copacabana Blue Hotel;R$ 6.507;7,4;Quarto Standard com 2 Camas de Solteiro e Banheiro Compartilhado;1.458 avaliações
Maroca Copacabana;R$ 5.846;8,7;Quarto Triplo Básico com Banheiro Compartilhado;118 avaliações
Hotel Astoria Palace;R$ 13.780;8,3;Quarto Standard com 2 Camas de Solteiro;8.562 avaliações
Windsor Copa Hotel;R$ 9.109;8,8;Quarto Duplo Standard - Sem Vista;1.977 avaliações
Orla Copacabana Hotel;R$ 13.157;8,5;Quarto Duplo Standard;3.927 avaliações
Windsor Martinique Copacabana;R$ 10.210;8,6;Quarto Duplo Superior;2.299 avaliações
Rio Design Copacabana Hotel;R$ 10.219;8,0;Quarto Deluxe com 2 Camas de Solteiro;4.020 avaliações
Hotel Copamar;R$ 6.451;7,9;Quarto Duplo Básico;975 avaliações
Regency Park Hotel;R$ 7.040;9,7;Quarto Standard com Cama King-size;11 avaliações
Premier Copacabana Hotel;R$ 7.249;8,0;Quarto Duplo Standard;2.384 avaliações
Windsor Excelsior Copacabana;R$ 17.707;8,5;Quarto Duplo Superior;2.962 avaliações
Rio Othon Palace;R$ 14.133;7,8;Quarto Superior Lateral Mar;10.771 avaliações
Copa Sul Hotel;R$ 9.675;8,3;Quarto Duplo Standard;1.460 avaliações
Américas Benidorm Hotel;R$ 7.747;8,4;Quarto Duplo Standard;4.441 avaliações
ibis Copacabana Posto 5;R$ 6.267;7,9;Quarto Duplo Standard - Acesso para Hóspedes com Mobilidade Reduzida;2.720 avaliações
Augusto's Copacabana Hotel;R$ 9.817;7,8;Suíte (2 Adultos);2.304 avaliações
Hotel Canada;R$ 8.608;8,1;Quarto Duplo com Cama de Casal;925 avaliações
Savoy Othon;R$ 8.463;7,5;Quarto Superior;4.209 avaliações
Royal Rio Palace Hotel;R$ 10.538;7,9;Quarto Duplo Standard com Cama de Casal;12.751 avaliações
Majestic Rio Palace Hotel;R$ 7.800;7,6;Quarto Duplo Standard;1.449 avaliações
South American Copacabana Hotel;R$ 9.328;8,5;Quarto Standard com Cama de Casal ou 2 de Solteiro;4.172 avaliações
