Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel Atlântico Copacabana;R$ 7.430;6,7;Quarto Standard com 2 Camas de Solteiro;9.958 avaliações
Hotel Atlântico Travel Copacabana;R$ 7.102;7,4;Quarto Duplo;12.919 avaliações
Hotel Bandeirantes;R$ 7.117;7,9;Quarto Standard com 2 Camas de Solteiro;6.425 avaliações
Hotel Astoria Copacabana;R$ 12.138;8,0;Suíte de 1 Quarto;8.523 avaliações
Hotel Astoria Palace;R$ 12.781;8,3;Quarto Standard com 2 Camas de Solteiro;8.547 avaliações
Maroca Copacabana;R$ 5.846;8,7;Quarto Triplo Básico com Banheiro Compartilhado;112 avaliações
ibis Copacabana Posto 2;R$ 6.607;8,3;Apartamento Standard com 2 Camas de Solteiro;1.937 avaliações
Copacabana Blue Hotel;R$ 6.507;7,4;Quarto Standard com 2 Camas de Solteiro e Banheiro Compartilhado;1.451 avaliações
Windsor Copa Hotel;R$ 9.062;8,8;Quarto Standard com 2 Camas de Solteiro - Sem Vista;1.966 avaliações
Windsor Martinique Copacabana;R$ 10.210;8,6;Quarto Duplo Superior;2.304 avaliações
Orla Copacabana Hotel;R$ 13.905;8,5;Quarto Duplo Superior;3.915 avaliações
Pestana Rio Atlantica;R$ 14.663;8,0;Apartamento Standard;3.409 avaliações
Copa Sul Hotel;R$ 8.295;8,3;Quarto Duplo Standard;1.455 avaliações
Rio Design Copacabana Hotel;R$ 10.219;8,0;Quarto Deluxe com 2 Camas de Solteiro;4.012 avaliações
Augusto's Copacabana Hotel;R$ 8.317;7,8;Quarto Standard com 2 Camas de Solteiro;2.295 avaliações
Augusto's Rio Copa Hotel;R$ 7.845;7,8;Quarto Standard com 2 Camas de Solteiro;2.530 avaliações
Premier Copacabana Hotel;R$ 7.249;8,0;Quarto Duplo Standard;2.379 avaliações
Ipanema Studio 300 m da praia;R$ 7.815;8,5;Apartamento;8 avaliações externas
Windsor Excelsior Copacabana;R$ 17.707;7,9;Quarto Duplo Superior;2.944 avaliações
ibis Copacabana Posto 5;R$ 6.267;9,3;Quarto Duplo Standard - Acesso para Hóspedes com Mobilidade Reduzida;2.718 avaliações
Flat 807;R$ 4.900;7,8;Apartamento de 1 Quarto;3 avaliações
Rio Othon Palace;R$ 14.133;7,9;Quarto Superior Lateral Mar;10.749 avaliações
Windsor Plaza Copacabana;R$ 10.168;7,9;Quarto Duplo Superior com Cama de Casal;2.510 avaliações
Hotel Copamar;R$ 6.451;7,6;Quarto Duplo Básico;974 avaliações
