Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.967;4,94;48
Apartamento em Gramado;R$3.093;5,0;4
Apartamento em Gramado;R$1.735;5,0;9
Apartamento em Gramado;R$2.636;5,0;3
Casa em Canela;R$1.814;Novo;0
Apartamento em Canela;R$2.396;Novo;0
Apartamento em Gramado;R$3.606;4,83;107
Cabana em Gramado;R$1.438;Novo;0
Hotel em Gramado;R$1.797;Novo;0
Apartamento em Gramado;R$4.211;5,0;4
Loft em Gramado;R$2.003;4,9;31
Apartamento em Canela;R$2.546;4,83;35
Apartamento em Vila Suica;R$3.389;Novo;0
Apartamento em Gramado;R$3.513;Novo;0
Apartamento em Gramado;R$2.520;Novo;0
Cabana em Gramado;R$1.438;4,76;21
Apartamento em Centro;R$3.167;5,0;71
