Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.967;4,94;48
Apartamento em Gramado;R$2.636;5,0;3
Apartamento em Canela;R$2.396;Novo;0
Apartamento em Gramado;R$1.735;5,0;9
Apartamento em Canela;R$2.586;4,9;31
Apartamento em Gramado;R$3.606;4,83;107
Apartamento em Gramado;R$3.093;5,0;4
Apartamento em Vila Suica;R$3.389;4,83;35
Cabana em Gramado;R$1.438;Novo;0
Hotel em Gramado;R$1.797;Novo;0
Apartamento em Canela;R$3.277;5,0;11
Quarto em Gramado;R$1.238;4,83;23
Apartamento em Floresta;R$2.899;4,84;43
Apartamento em Gramado;R$3.542;4,8;30
Apartamento em Gramado;R$3.513;Novo;0
Cabana em Gramado;R$1.438;Novo;0
Apartamento em Canela;R$3.424;4,71;14
Apartamento em Gramado;R$3.304;4,92;107
Casa em Gramado;R$3.268;4,63;8
Apartamento em Gramado;R$3.666;4,82;11
Apartamento em Floresta;R$2.625;4,94;17
Quarto em Vila Moura;R$1.084;4,93;41
Condomínio em Centro;R$3.138;4,81;16
Cabana em Canela;R$2.579;5,0;24
