Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.575;4,43;7
Quarto em Gramado;R$1.244;Novo;0
Apartamento em Canela;R$2.559;4,9;31
Apartamento em Gramado;R$3.606;4,83;107
Apartamento em Vila Suica;R$3.389;4,83;35
Apartamento em Gramado;R$2.967;4,94;48
Apartamento em Gramado;R$1.735;5,0;9
Apartamento em Gramado;R$3.491;4,8;30
Hotel em Gramado;R$1.797;Novo;0
Apartamento em Gramado;R$3.093;5,0;4
Apartamento em Floresta;R$2.899;4,84;44
Apartamento em Canela;R$3.472;4,71;14
Quarto em Gramado;R$1.238;4,83;23
Apartamento em Gramado;R$3.304;4,92;107
Apartamento em Canela;R$1.173;Novo;0
Apartamento em Centro;R$3.937;5,0;71
Chalé em Gramado;R$1.919;Novo;0
Apartamento em Gramado;R$4.365;4,63;8
Casa em Gramado;R$3.268;4,93;41
Quarto em Vila Moura;R$1.084;4,94;17
Apartamento em Floresta;R$2.625;4,81;16
