Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.606;4,5;8
Suíte de hóspedes em Bairro Lago Negro;R$1.620;4,92;13
Condomínio em Centro;R$2.396;4,75;106
Apartamento em Gramado;R$2.676;4,92;108
Apartamento em Gramado;R$2.853;4,83;107
Apartamento em Gramado;R$3.606;5,0;9
Apartamento em Gramado;R$1.735;4,81;36
Apartamento em Vila Suica;R$3.389;4,77;26
Apartamento em Gramado;R$3.846;Novo;0
Casa em Gramado;R$1.552;5,0;3
Casa em Gramado;R$1.010;4,9;31
Apartamento em Canela;R$2.562;5,0;28
Apartamento em Vila Luiza;R$2.391;Novo;0
Hotel em Gramado;R$1.797;Novo;0
Apartamento em Gramado;R$2.511;4,62;21
Apartamento em Gramado;R$2.967;5,0;71
Apartamento em Centro;R$3.937;5,0;7
