Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Gramado;R$2.589;4,43;7
Apartamento em Gramado;R$3.846;4,77;26
Apartamento em Canela;R$1.484;5,0;3
Apartamento em Canela;R$2.875;4,91;11
Apartamento em Gramado;R$1.735;5,0;9
Apartamento em Gramado;R$3.606;4,83;107
Apartamento em Vila Suica;R$3.389;4,81;36
Apartamento em Gramado;R$4.365;4,94;48
Apartamento em Gramado;R$2.967;4,9;31
Apartamento em Canela;R$2.566;4,8;30
Apartamento em Gramado;R$3.491;Novo;0
Hotel em Gramado;R$1.797;Novo;0
Apartamento em Gramado;R$2.511;Novo;0
Apartamento em Gramado;R$3.365;4,62;21
Apartamento em Gramado;R$2.967;5,0;71
Apartamento em Centro;R$3.937;Novo;0
Chalé em Gramado;R$1.919;Novo;0
