Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Rio de Janeiro;R$3.309;4,82;11
Apartamento em Copacabana;R$4.986;4,92;50
Apartamento em Rio de Janeiro;R$4.045;Novo;0
Apartamento em Rio de Janeiro;R$3.469;4,69;16
Apartamento em Rio;R$5.130;4,77;87
Apartamento em Rio de Janeiro;R$4.610;Novo;0
Apartamento em Rio de Janeiro;R$5.095;Novo;0
Apartamento em Rio de Janeiro;R$5.574;5,0;7
Apartamento em Rio de Janeiro;R$5.376;4,48;23
Apartamento em Rio de Janeiro;R$5.260;4,95;20
Apartamento em Rio de Janeiro;R$2.091;Novo;0
Apartamento em Rio de Janeiro;R$4.759;4,67;6
Apartamento em Rio de Janeiro;R$4.360;4,35;23
Apartamento em Rio de Janeiro;R$4.998;4,4;5
Apartamento em Rio de Janeiro;R$3.690;Novo;0
Apartamento em Rio de Janeiro;R$4.882;4,9;49
Apartamento em Rio de Janeiro;R$4.222;Novo;0
Apartamento em Copacabana;R$3.966;4,32;19
Loft em Rio;R$5.592;4,93;15
Apartamento em Copacabana;R$5.018;4,9;59
Quarto em Rio de Janeiro;R$4.074;4,95;480
Loft em Rio de Janeiro;R$6.745;5,0;14
Apartamento em Copacabana;R$4.599;4,74;23
Apartamento em Rio de Janeiro;R$6.927;5,0;4
