Nome do Hotel;Preço;Nota;Número de avaliações
Loft em Copacabana;R$4.080;4,86;7
Casa de hóspedes em Rio de Janeiro;R$3.538;4,76;45
Apartamento em Rio de Janeiro;R$2.756;Novo;0
Apartamento em Rio de Janeiro;R$4.045;4,47;107
Apartamento em Rio de Janeiro;R$3.572;5,0;10
Apartamento em Rio de Janeiro;R$4.214;4,92;50
Apartamento em Copacabana;R$4.986;Novo;0
Apartamento em Rio de Janeiro;R$3.489;4,79;101
Apartamento em Rio de Janeiro;R$5.033;4,71;102
Lugar para ficar em Rio de Janeiro;R$3.321;4,79;204
Quarto em Rio de Janeiro;R$2.051;4,8;10
Loft em Rio de Janeiro;R$5.478;4,8;228
Apartamento em Rio de Janeiro;R$5.643;Novo;0
Apartamento em Rio de Janeiro;R$4.439;Novo;0
Apartamento em Rio de Janeiro;R$4.716;5,0;3
Apartamento em Rio de Janeiro;R$4.222;4,79;58
Apartamento em Rio de Janeiro;R$3.690;4,93;15
Quarto em Copacabana;R$2.328;4,89;18
Quarto em Rio de Janeiro;R$2.430;4,75;24
Loft em Rio;R$5.592;4,79;19
Apartamento em Rio de Janeiro;R$4.964;4,94;16
