Nome do Hotel;Preço;Nota;Número de avaliações
Apartamento em Rio de Janeiro;R$2.670;4,63;49
Lugar para ficar em Rio de Janeiro;R$2.225;Novo;0
Loft em Rio de Janeiro;R$5.421;4,99;181
Apartamento em Copacabana;R$4.986;4,92;50
Apartamento em Rio de Janeiro;R$4.045;Novo;0
Apartamento em Rio;R$4.986;4,77;87
Apartamento em Copacabana;R$5.364;4,82;49
Apartamento em Rio de Janeiro;R$4.576;Novo;0
Apartamento em Rio de Janeiro;R$5.574;5,0;7
Lugar para ficar em Rio de Janeiro;R$3.321;4,79;101
Apartamento em Rio de Janeiro;R$3.469;4,69;16
Apartamento em Rio de Janeiro;R$2.091;Novo;0
Apartamento em Rio de Janeiro;R$3.743;4,83;314
Loft em Copacabana;R$4.593;4,86;7
Apartamento em Rio de Janeiro;R$4.565;5,0;25
Quarto em Rio de Janeiro;R$2.625;Novo;0
Quarto em Rio de Janeiro;R$2.853;Novo;0
Apartamento em Rio de Janeiro;R$3.172;4,93;15
Loft em Rio;R$5.592;4,75;24
Apartamento em Copacabana;R$4.599;5,0;14
Loft em Rio de Janeiro;R$6.745;5,0;4
Apartamento em Rio de Janeiro;R$6.927;4,79;19
Loft em Rio de Janeiro;R$5.512;4,89;36
