Nome do Hotel;Preço;Nota;Número de avaliações
Quarto em Rio de Janeiro;R$5.706;5,0;9
Apartamento em Rio de Janeiro;R$5.164;4,95;238
Apartamento em Rio de Janeiro;R$4.408;4,93;15
Apartamento em Rio de Janeiro;R$5.364;4,78;45
Apartamento em Rio de Janeiro;R$4.165;Novo;0
Apartamento em Copacabana;R$5.890;4,73;52
Apartamento em Rio de Janeiro;R$3.914;4,63;41
Apartamento em Rio de Janeiro;R$5.620;4,88;60
Apartamento em Rio de Janeiro;R$5.329;4,86;14
Apartamento em Copacabana;R$4.986;4,92;50
Loft em Rio de Janeiro;R$4.907;4,79;204
Apartamento em Leme;R$3.981;4,88;26
Apartamento em Copacabana;R$3.663;4,8;61
Apartamento em Rio de Janeiro;R$3.690;Novo;0
Apartamento em Rio de Janeiro;R$4.045;Novo;0
Loft em Rio de Janeiro;R$5.192;Novo;0
Loft em Copacabana;R$5.866;4,91;56
Apartamento em Copacabana;R$5.436;4,79;47
