Nome do Hotel;Preço;Nota
Wish Serrano BY GJP;R$ 1.082;5
Hotel Fioreze Centro;R$ 870;4
Laghetto Stilo Vita;R$ 1.184;5
Pousada Aardvark Inn - Rota Sul;R$ 460;3
Pousada Monte Felice;R$ 675;3
Encantos Charme Hotel;R$ 1.169;3
Pousada Villa da Uva;R$ 539;3
Hotel Cabanas Glamour;R$ 394;3
Pousada Recanto Vó Eni;R$ 390;3
Hotel Estrelas da Serra;R$ 341;3
Hotel Bertoluci;R$ 658;3
Pousada Maibe Amanhecer na Serra;R$ 640;4
Colina Lagos Hotel;R$ 535;3
Pousada Quinta do Vale;R$ 708;3
Hotel Laghetto Siena;R$ 845;4
Hotel Fioreze Primo;R$ 851;4
Hotel Daara;R$ 928;4
Hotel Modevie;R$ 2.079;4
Hotel Cabanas da Mata;R$ 419;4
Hotel Wood;R$ 1.606;4
