Nome do Hotel;Preço;Nota
Hotel Laghetto Gramado;R$ 816;4
Hotel Fioreze Centro;R$ 878;4
Laghetto Stilo Vita;R$ 1.184;5
Pousada Aardvark Inn - Rota Sul;R$ 460;3
Pousada Monte Felice;R$ 615;3
Encantos Charme Hotel;R$ 1.046;3
Pousada Villa da Uva;R$ 539;3
Hotel Cabanas Glamour;R$ 394;3
Hotel Estrelas da Serra;R$ 341;3
Pousada Maibe Amanhecer na Serra;R$ 640;4
Colina Lagos Hotel;R$ 535;3
Pousada Quinta do Vale;R$ 708;3
Hotel Laghetto Siena;R$ 845;4
Hotel Fioreze Primo;R$ 864;4
Hotel Daara;R$ 928;4
Hotel Wood;R$ 1.721;4
"Hotel Pousada Brisa De Gramado	";R$ 480;2
Hotel Alpenhof;R$ 346;3
HOTEL E POUSADA DAS FLORES;R$ 517;3
Hotel Fioreze Quero Quero;R$ 819;3
