Nome do Hotel;Preço;Nota;Número de avaliações
Casa em Praia de Jericoacoara;R$3.566;4,93;61
Bangalô em Vila de Jericoacoara;R$4.051;4,72;101
Pousada em Jijoca de Jericoacoara;R$5.500;4,92;49
Casa em Jijoca de Jericoacoara;R$3.538;4,83;23
Quarto em Jijoca de Jericoacoara;R$4.490;Novo;0
Apartamento em  Jericoacoara;R$4.565;4,74;34
Quarto em Jijoca de Jericoacoara;R$2.887;4,83;40
Condomínio em Jijoca de Jericoacoara;R$5.898;4,61;163
Lugar para ficar em Jijoca de Jericoacoara;R$2.476;4,86;14
Microcasa em Jijoca de Jericoacoara;R$6.847;4,89;92
Apartamento em Jericoacoara;R$3.800;5,0;6
Loft em ceará;R$7.418;4,83;30
Apartamento em Jericoacoara Beach;R$4.861;4,64;56
Quarto em Jijoca de Jericoacoara;R$4.000;4,65;37
Pousada em Jijoca de Jericoacoara;R$4.995;4,83;96
Apartamento em Jijoca de Jericoacoara;R$4.465;5,0;5
Apartamento em Jijoca de Jericoacoara;R$4.451;5,0;8
