Nome do Hotel;Preço;Nota
Hotel Sibara Flat & Convenções;R$ 1148;Hotel 4 estrelas
Sagres Praia Hotel;R$ 1018;Hotel 3 estrelas
Brut by Slaviero Hotéis;R$ 1119;Hotel 4 estrelas
Pousada Al Mare Residence;R$ 1110;Hotel 3 estrelas
Hotel Negrini;R$ 976;Hotel 3 estrelas
HM Hotel;R$ 837;Hotel 3 estrelas
Ryan Hotel;R$ 606;Hotel 3 estrelas
Hotel Rieger;R$ 1137;Hotel 4 estrelas
Hotel Vieiras;R$ 665;Hotel 3 estrelas
Concept Hotel Flat;R$ 1028;Hotel 3 estrelas
TRI Hotel Balneário Camboriú;R$ 1028;Hotel 3 estrelas
Santa Inn Hotel;R$ 1262;Hotel 4 estrelas
Mercure Camboriu Hotel;R$ 1440;Hotel 4 estrelas
Atobá Praia Hotel;R$ 983;Hotel 3 estrelas
