Nome do Hotel;Preço;Nota
Windsor Martinique Hotel;R$ 1.461;3
Hotel Rio Othon Palace;R$ 2.059;5
Windsor Copa Hotel;R$ 1.454;3
Olinda Rio Hotel;R$ 1.384;4
Windsor California Copacabana;R$ 4.241;4
Windsor Excelsior Copacabana;R$ 2.504;4
Windsor Plaza Hotel;R$ 1.601;4
Hotel Mar Palace Copacabana;R$ 1.426;3
Augusto's Copacabana Hotel;R$ 920;3
JW Marriott Hotel Rio de Janeiro;R$ 3.156;4
Mercure Rio Boutique Hotel Copacabana;R$ 2.177;4
Grand Mercure Rio de Janeiro Copacabana;R$ 1.898;4
Orla Copacabana Hotel;R$ 2.068;4
Majestic Rio Palace Hotel;R$ 1.134;3
Windsor Palace Hotel;R$ 1.811;4
Pestana Rio Atlântica Hotel;R$ 2.956;4
Royal Rio Palace Hotel;R$ 1.436;4
Miramar By Windsor Copacabana;R$ 3.565;5
Hotel Savoy Othon;R$ 1.172;3
Benidorm Palace Hotel;R$ 1.251;4
