Nome do Hotel;Preço;Nota
Windsor Martinique Hotel;R$ 1.461;3
Hotel Rio Othon Palace;R$ 2.059;5
Windsor Copa Hotel;R$ 1.454;3
Olinda Rio Hotel;R$ 4.241;4
Windsor California Copacabana;R$ 1.281;4
Copacabana Rio Hotel;R$ 2.504;3
Windsor Excelsior Copacabana;R$ 1.601;4
Windsor Plaza Hotel;R$ 925;4
Augusto's Rio Copa Hotel;R$ 1.640;4
Hotel Mar Palace Copacabana;R$ 920;3
Augusto's Copacabana Hotel;R$ 2.177;3
Mercure Rio Boutique Hotel Copacabana;R$ 3.243;4
JW Marriott Hotel Rio de Janeiro;R$ 2.068;4
Orla Copacabana Hotel;R$ 1.134;4
Majestic Rio Palace Hotel;R$ 1.898;3
Grand Mercure Rio de Janeiro Copacabana;R$ 1.811;4
Windsor Palace Hotel;R$ 2.950;4
Pestana Rio Atlântica Hotel;R$ 1.436;4
Royal Rio Palace Hotel;R$ 3.565;4
