Nome do Hotel;Preço;Nota
Hotel Rio Othon Palace;R$ 2059;Hotel 5 estrelas
Windsor Martinique Hotel;R$ 1461;Hotel 3 estrelas
Olinda Rio Hotel;R$ 1384;Hotel 4 estrelas
Windsor Copa Hotel;R$ 1454;Hotel 3 estrelas
Windsor Excelsior Copacabana;R$ 2504;Hotel 4 estrelas
Windsor Plaza Hotel;R$ 1601;Hotel 4 estrelas
Augusto's Rio Copa Hotel;R$ 954;Hotel 4 estrelas
Orla Copacabana Hotel;R$ 2080;Hotel 4 estrelas
Mercure Rio Boutique Hotel Copacabana;R$ 2177;Hotel 4 estrelas
Hotel Mar Palace Copacabana;R$ 1640;Hotel 3 estrelas
JW Marriott Hotel Rio de Janeiro;R$ 3243;Hotel 4 estrelas
Augusto's Copacabana Hotel;R$ 947;Hotel 3 estrelas
Grand Mercure Rio de Janeiro Copacabana;R$ 1898;Hotel 4 estrelas
Majestic Rio Palace Hotel;R$ 1134;Hotel 3 estrelas
Pestana Rio Atlântica Hotel;R$ 2030;Hotel 4 estrelas
Windsor Palace Hotel;R$ 1742;Hotel 4 estrelas
Royal Rio Palace Hotel;R$ 1386;Hotel 4 estrelas
Hotel Savoy Othon;R$ 1172;Hotel 3 estrelas
Benidorm Palace Hotel;R$ 1311;Hotel 4 estrelas
