Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel dos Açores;R$ 7.395;7,5;Quarto Duplo Standard;3.392 avaliações
Hotel Torre Sol;R$ 5.475;8,0;Quarto Duplo Superior;1.547 avaliações
Hotel Ilha da Madeira;R$ 7.395;7,2;Quarto Standard;2.378 avaliações
COBERTURA;R$ 1.134;7,9;Apartamento de 3 Quartos;2.012 avaliações
HM Hotel;R$ 6.755;8,2;Suíte Superior;820 avaliações
Hotel Praiamar;R$ 6.000;8,1;Quarto Duplo Standard;5.241 avaliações
Casa tranquila;R$ 2.646;7,9;Apartamento de 2 Quartos;3.892 avaliações
Apto completo - Pontal Norte;R$ 3.105;8,0;Apartamento de 1 Quarto;670 avaliações
Hotel Rieger;R$ 7.015;8,5;Quarto Duplo Clássico;932 avaliações
Tri Hotel Balneario Camboriu;R$ 7.825;8,6;Quarto de Casal Standard;1.824 avaliações
H Hotel;R$ 5.273;7,5;Quarto Duplo;6.123 avaliações
Kitnet 904;R$ 1.700;8,6;Apartamento de 1 Quarto;283 avaliações
Hotel Pitol;R$ 4.977;8,7;Quarto Standard com Cama de Casal ou 2 de Solteiro;1.108 avaliações
Ibis Styles Balneário Camboriú - 1 Quadra do Mar;R$ 7.250;8,2;Apartamento Standard com 2 Camas de Solteiro;523 avaliações
Mar Hotel;R$ 6.000;8,4;Quarto Triplo;2.996 avaliações
Hotel Flat Concept;R$ 7.818;8,3;Quarto Duplo Deluxe com 1 Cama de Casal;2.509 avaliações
Hotel Blumenau - Balneário Camboriú;R$ 6.460;8,2;Quarto Duplo Deluxe;434 avaliações
Tropikalya Prime Hotel;R$ 5.938;8,6;Quarto Standard com Cama de Casal ou 2 de Solteiro;1.016 avaliações
San Marino Cassino Hotel;R$ 6.300;8,4;Apartamento;3.602 avaliações
Miramar Hotel;R$ 8.955;8,4;Quarto Duplo;3.173 avaliações
Rezende Suítes Hotel;R$ 4.971;9,0;Quarto Econômico;1.556 avaliações
