Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel dos Açores;R$ 7.245;7,5;Quarto Duplo Standard;3.376 avaliações
Hotel Melo;R$ 6.080;9,0;Quarto Duplo;1.558 avaliações
Ibis Styles Balneário Camboriú - 1 Quadra do Mar;R$ 7.250;8,6;Apartamento Standard com 2 Camas de Solteiro;1.832 avaliações
Hotel Bhally;R$ 9.882;8,2;Quarto Duplo Standard;417 avaliações
Apartamento dos Sonhos - Studio em Prédio a Beira Mar;R$ 5.945;7,8;Apartamento Estúdio;3 avaliações externas
Sagres Praia Hotel;R$ 7.195;7,2;Quarto Triplo Standard;1.451 avaliações
Hotel Ilha da Madeira;R$ 7.245;8,2;Quarto Standard;2.366 avaliações
Hotel Praiamar;R$ 6.000;7,9;Quarto Duplo Standard;823 avaliações
HM Hotel;R$ 6.755;10;Suíte Superior;2.012 avaliações
Estudio em frente ao Shopping e Rodoviaria em Balneario Camboriu P891;R$ 4.724;8,2;Apartamento Estúdio;5 avaliações
Mercure Camboriu;R$ 10.455;7,9;Quarto Standard com 2 Camas de Solteiro;1.084 avaliações
Tri Hotel Balneario Camboriu;R$ 6.995;8,4;Quarto com 2 Camas de Solteiro (Beliche);3.887 avaliações
Hotel das Américas;R$ 6.603;8,6;Quarto Duplo Luxo;3.582 avaliações
Hotel D'sintra;R$ 9.585;8,1;Quarto Deluxe;994 avaliações
Hotel Rieger;R$ 7.944;8,4;Quarto Duplo Premium;5.238 avaliações
San Marino Cassino Hotel;R$ 6.300;8,6;Apartamento;2.995 avaliações
Pousada Ponta do Lobo;R$ 5.929;8,7;Quarto Deluxe com Cama de Casal ou 2 de Solteiro;1.016 avaliações
Hotel Blumenau - Balneário Camboriú;R$ 6.460;8,2;Quarto Duplo Deluxe;1.106 avaliações
Master Hotel;R$ 4.598;8,1;Quarto com Cama de Casal ou 2 de Solteiro;378 avaliações
Tropikalya Prime Hotel;R$ 7.812;7,5;Quarto Triplo Standard;526 avaliações
Mar Hotel;R$ 6.000;8,0;Quarto Triplo;6.109 avaliações
Atobá Praia Hotel;R$ 7.408;7,2;Quarto Triplo Deluxe;1.955 avaliações
Nômades Club House;R$ 6.250;8,4;Quarto Duplo;136 avaliações
Hotel Gumz;R$ 6.665;8,4;Quarto Triplo Superior;992 avaliações
