Nome do Hotel;Preço;Nota;Quarto;Número de avaliações
Hotel dos Açores;R$ 7.395;7,5;Quarto Duplo Standard;3.396 avaliações
Hotel Flat Concept;R$ 7.818;8,6;Quarto Duplo Deluxe com 1 Cama de Casal;283 avaliações
Kitnet 904;R$ 1.700;7,2;Apartamento de 1 Quarto;2.376 avaliações
AWO83 - 150m do Calçadão, 1 Dorm Climatizado;R$ 7.480;8,4;Apartamento;2.995 avaliações
Hotel Ilha da Madeira;R$ 7.395;7,9;Quarto Standard;2.014 avaliações
San Marino Cassino Hotel;R$ 6.300;7,5;Apartamento;427 avaliações
Apartamento aconchegante a 76 metros do Mar;R$ 12.500;9,0;Apartamento de 3 Quartos;1.556 avaliações
HM Hotel;R$ 6.147;8,2;Suíte Standard;821 avaliações
CPG22 - Pioneiros, 2 Dorm, Climatizado, Wi-Fi;R$ 9.666;8,1;Apartamento;5.240 avaliações
Residencial Louise;R$ 3.360;8,4;Quarto Duplo com Banheiro Compartilhado;992 avaliações
Hotel Melo;R$ 6.080;7,9;Quarto Duplo;3.890 avaliações
Hotel Praiamar;R$ 6.000;8,0;Quarto Duplo Standard;670 avaliações
Casa de 3 quartos Balneário Camboriú;R$ 6.000;8,2;Casa de 3 Quartos;412 avaliações
Hotel Rieger;R$ 7.015;8,6;Quarto Duplo Clássico;1.822 avaliações
Hotel Gumz;R$ 6.665;10;Quarto Triplo Superior;5 avaliações
Tri Hotel Balneario Camboriu;R$ 7.825;8,5;Quarto de Casal Standard;933 avaliações
H Hotel;R$ 5.273;7,5;Quarto Duplo;6.130 avaliações
Hotel Bhally;R$ 9.882;9,0;Quarto Duplo Standard;9 avaliações
Ibis Styles Balneário Camboriú - 1 Quadra do Mar;R$ 7.250;8,8;Apartamento Standard com 2 Camas de Solteiro;11 avaliações
